ZTFID,class,category,evidence,strength
ZTF18aazjztm,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 290.74 < 1289.5,
ZTF18aazsabq,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 293.83 < 1289.5,
ZTF18aaxmhvk,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 290.83 < 1289.5,
ZTF18aaxkjmm,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 278.77 < 1289.5,
ZTF18aaaokus,AGN,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'AGN' not emittable by SNIascore,
ZTF18abauprj,SN Ia-91T,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN Ia-91T' not emittable by SNIascore,
ZTF18aaixulp,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF18abaxlpi,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 296.95 < 1289.5,
ZTF18abcfcoo,other,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'other' not emittable by SNIascore,
ZTF18abbqjds,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 298.81 < 1289.5,
ZTF18abbpxik,SN II,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN II' not emittable by SNIascore,
ZTF18abbpeqo,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 302.81 < 1289.5,
ZTF18abbvsiv,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 297.74 < 1289.5,
ZTF18abcrtnq,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 301.76 < 1289.5,
ZTF18abcdzyc,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 300.81 < 1289.5,
ZTF18abckujg,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 303.72 < 1289.5,
ZTF18aazhwnh,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 291.76 < 1289.5,
ZTF18aaybvhx,AGN,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'AGN' not emittable by SNIascore,
ZTF18abckutn,SN IIP,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN IIP' not emittable by SNIascore,
ZTF18abclfee,SN Iax,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN Iax' not emittable by SNIascore,
ZTF18abcecfi,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 306.68 < 1289.5,
ZTF18abcezmh,SN II,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN II' not emittable by SNIascore,
ZTF18abcsgvj,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 302.79 < 1289.5,
ZTF18aaqiivp,AGN,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'AGN' not emittable by SNIascore,
ZTF18abckxfb,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF18abcyilc,SN Ia-pec,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN Ia-pec' not emittable by SNIascore,
ZTF18abckujq,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 303.70 < 1289.5,
ZTF18abceakp,SN II,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN II' not emittable by SNIascore,
ZTF18abcpmwh,SN IIP,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN IIP' not emittable by SNIascore,
ZTF18abcptmt,SN II,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN II' not emittable by SNIascore,
ZTF18abcrxoj,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 305.70 < 1289.5,
ZTF18abcvush,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 305.84 < 1289.5,
ZTF18abcyhju,SN II,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN II' not emittable by SNIascore,
ZTF18abcflnz,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 308.89 < 1289.5,
ZTF18abdfazk,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 306.72 < 1289.5,
ZTF18abcysck,CV,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'CV' not emittable by SNIascore,
ZTF18abddrhd,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 311.71 < 1289.5,
