c5_color,c5_color_error,c5_s1,c5_s1_error,c5_s2,c5_s2_error,c5_s3,c5_s3_error,c5_luminosity,c5_luminosity_error,c5_reference_time_error,c5_predicted_redshift,c5_predicted_redshift_error,c5_amplitude,unit,epoch
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-20.767620676436472,0.24233912,19.921122,0.28073123,0.2571784,91.96987,1808,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.980129660913796,0.103138156,19.921179,0.28072992,0.25717777,280.9666,1813,E1
-0.009358,0.15779684,0.0072240625,0.9967194,0.0006389767,0.9919126,-0.012773769,0.99459296,-21.76094074162811,0.11632051,19.921154,0.28073055,0.25717756,229.60233,1816,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-22.087849082300515,0.15215671,19.921179,0.28072992,0.25717777,310.27164,1819,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-23.393303336450906,0.07618345,19.921179,0.28072992,0.25717777,1032.5809,1820,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-22.54345172817454,0.073594354,19.921179,0.28072992,0.25717777,472.04468,1828,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.546350898096414,0.15062496,19.921179,0.28072992,0.25717777,188.42683,1829,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-22.586025657007546,0.08652878,19.921179,0.28072992,0.25717777,490.92242,1832,E1
-0.0093585905,0.15779637,0.0072226394,0.9967152,0.00063893944,0.9919149,-0.012773579,0.99459285,-23.320298929527794,0.050680086,19.92113,0.28073007,0.25717658,965.43024,1837,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-22.305624427149148,0.10184991,19.921179,0.28072992,0.25717777,379.186,1843,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-21.095160553966913,0.25054398,19.921162,0.28073084,0.2571783,124.35497,1849,E1
-0.009358,0.15779684,0.0072240625,0.9967194,0.0006389767,0.9919126,-0.012773769,0.99459296,-21.993053626149596,0.11259915,19.921154,0.28073055,0.25717756,284.3291,1850,E1
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-21.019108408370066,0.25088733,19.921122,0.28073123,0.2571784,115.942154,1854,E1
-0.0093579255,0.1577971,0.007217059,0.9967159,0.00063329935,0.991914,-0.012775941,0.99459106,-21.30077272758595,0.1737231,19.9212,0.28073105,0.25717875,150.2822,1860,E1
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-20.879685038008738,0.2765748,19.921122,0.28073123,0.2571784,101.969826,1863,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.121933402368875,0.13392588,19.921179,0.28072992,0.25717777,127.460396,1875,E1
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-21.251877420821238,0.31720978,19.921122,0.28073123,0.2571784,143.66418,1879,E1
-0.009357867,0.15779606,0.0072253887,0.99671644,0.0006317869,0.9919147,-0.012776198,0.99459887,-22.20491559252192,0.08442247,19.921137,0.28072917,0.25717685,345.59775,1884,E1
